Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Caribbean small states,CSS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.216645002,4.383069992,3.336659908,3.214030027,3.747999907,3.473814964,3.463250041,3.852375031,2.438920021,2.756119967,3.869560003,4.223160028,4.459119916,3.696724892,3.912549973,4.616419792,,5.49022007,6.191319942,6.198480129,6.370600224,5.281330109,5.331145048,5.6849401,5.673900127,4.421210051,4.634260058,4.417834997,4.358924866,4.430865049,4.860620022,6.027470112
Cuba,CUB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,7.14496994,,7.074769974,5.619480133,,,,6.208730221,6.755239964,7.704810143,8.358090401,9.571169853,9.940859795,10.26823044,10.55778027,9.057169914,11.86820984,14.05908012,13.12485981,12.83730984,,1.16E-05,1.07E-05,9.61E-06,8.96E-06,9.01E-06,8.44E-06,8.02E-06,9.05E-06,1.15E-05,
Curacao,CUW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,6.079498291,4.930950165,,7.105736732,6.985280037,,6.578791142,6.39694643,7.42913866,
Cayman Islands,CYM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.166806698,2.064558744,,
Cyprus,CYP,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.339240074,3.5753901,3.780299902,4.09555006,4.159969807,3.741230011,,,,4.772079945,4.9895401,5.11552,5.581669807,6.670229912,6.117720127,6.286670208,6.330269814,6.280829906,6.722760201,7.205450058,6.54279995,6.538539886,5.911854744,6.483779907,6.440499783,6.326129913,6.145410061,5.718530178,5.152853966,5.250639915,6.059999943,
Czechia,CZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,3.751760006,4.158679962,4.649960041,4.517549992,4.244909763,,3.580120087,3.66753006,3.64034009,3.732830048,3.95878005,4.117280006,3.992389917,3.865910053,4.195509911,3.84717989,3.727190018,4.14605999,4.033500195,4.242090225,4.220709801,4.046760082,3.965229988,5.751820087,5.553730011,3.806159973,4.26692009,4.543379784,5.079999924,
Germany,DEU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,4.407919884,4.336639881,4.430759907,4.494709969,,4.461870193,,,,,,,,4.293960094,4.366799831,4.435949802,4.909510136,4.94367981,4.82487011,4.956580162,4.935389996,4.921020031,4.855150223,4.839230061,4.871829987,4.975769997,5.116640091,4.659999847,
Djibouti,DJI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,7.629479885,9.659999847,7.805429935,8.447600365,8.889849663,9.264670372,8.365889549,8.278779984,8.40625,,,4.49022007,,6.351275444,4.647825241,4.384075165,3.590240002,3.924390078,3.748559952,3.627739906,,,
Dominica,DMA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,5.739840031,4.028580189,,,,,,,,,,,,,,,,3.408580065,5.129720211,4.766749859,5.571549892,5.576189995,4.69630003,5.465845108
Denmark,DNK,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,5.596759796,,7.772819996,7.471059799,7.471039772,7.884940147,,8.106749535,7.931159973,8.084340096,8.215450287,8.213029861,8.121930122,8.207630157,8.085570335,7.729909897,7.615600109,7.4760499,8.448880196,8.559550285,8.48486042,7.237820148,8.494429588,7.634850025,7.0104146,7.476940155,7.752439976,6.792779922,6.888579845,6.380000114,
Dominican Republic,DOM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,0.773949981,0.893369973,1.033300042,1.22724998,,,,1.888290048,1.967829943,1.914010048,1.84465003,,,,2.046789885,,,1.900460005,1.900239944,2.49751997,3.480540037,3.963769913,3.816240072,3.850500107,3.920269966,3.928489923,4.042769909,4.618700027,
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,4.619999886,4.960000038,4.33701992,6.03000021,,,7.637597084,7.29229641,7.31870079,7.962967396,7.344359875,6.505380154,5.866350174,6.100359917,7.042397499,
East Asia & Pacific (excluding high income),EAP,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,2.252955019,2.686659932,3.51327002,,,4.208930016,2.69233501,2.89222002,,2.748470068,,,3.061334968,3.569250107,3.805969954,3.508440018,3.52196002,3.596918344,3.824398518,3.726639986,3.82487011,3.767617464,3.566385746,3.37054503,3.188205838,3.569999933,
Early-demographic dividend,EAR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,3.985475063,3.827090025,4.088779926,3.407730103,3.574229956,3.419530034,,4.128210068,3.618584991,3.913759947,4.382245064,3.748096824,3.870579958,3.942765117,4.233669996,4.14103508,3.950090051,4.050000191,3.931309938,3.907310009,3.663199902,4.102479219,
East Asia & Pacific,EAS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,3.040205002,,,,,,3.471655011,3.864919901,,3.652760029,3.25545001,3.559734941,3.279340029,3.508500099,3.861939907,3.510030031,3.563619971,3.622169137,3.792359233,3.649595022,3.82487011,3.767617464,3.566385746,3.434504986,3.447895765,3.652405262,
Europe & Central Asia (excluding high income),ECA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,3.618079901,3.343394995,3.384239912,3.154459953,3.286149979,3.227519989,3.642030001,3.40350008,3.547955036,4.101749897,4.274290085,3.869227052,4.221519947,3.959860086,4.058229923,4.048404455,3.921794891,3.962090015,4.323689938,4.294069767,4.056914926,4.389126778,
Europe & Central Asia,ECS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,4.596094847,4.494450092,,4.45031023,4.383719921,4.149154902,4.525680065,4.438934803,4.80573988,4.729400158,4.878399849,4.81757021,4.626599789,4.862435102,5.018044949,5.03881979,4.860944986,4.829549789,4.953005075,4.878499985,4.897535086,4.781787872,4.735224962,4.67667985,4.630020142,5.075000048,
Ecuador,ECU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,1.997640014,,,2.195369959,1.547340035,1.150930047,,,,,,,,,4.342420101,4.507430077,4.726890087,4.643070221,5.004640102,5.260990143,4.998700142,4.362750053,4.614260197,4.621459961,4.225659847,4.134130001,3.691380024
"Egypt, Arab Rep.",EGY,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,4.050670147,4.197700024,4.583759785,4.604000092,4.671569824,,,,,,,4.945630074,4.6707201,4.794429779,4.001780033,3.68460989,3.760829926,,3.542649984,3.344300032,3.368299961,4.122529984,4.25138998,3.930850029,4.050000191,,,2.609999895,2.480000019,
Euro area,EMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.557250023,4.811985016,,4.840950012,4.667274952,4.690214872,4.799570084,,4.540569782,4.510849953,4.585120201,5.228459835,5.258719921,5.085664988,4.961565018,4.976174831,4.825729847,4.674350023,5.109519958,5.563149929,5.489089966,5.123330116,5.410220146,5.342050076,5.124000072,4.909530163,4.792669773,4.871829987,4.935870171,4.910289764,5.185000181,
Eritrea,ERI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,1.638550043,,4.620580196,5.26281023,,4.047160149,3.523900032,,3.148969889,,2.127000093,,,,,,,,,,,,,,,
